Celebrity,Current Ranking,Current Price,Avg. 21-Day Price,Avg. 21-Day Price/Current Price,All-Time High Price,All-Time High Price/Current Price,Days Since All-Time High Price,Gender,Age,Upcoming Birthday,U.S. Nationality,Living Status,Celebrity Bucks Recommendation,Last Update
Ken Leung,623,5000,1000,0.2,48000,9.6,1379,Male,50,No upcoming birthday,U.S. national,Alive,Hold,44:33.2
Willie Geist,624,5000,1000,0.2,143000,28.6,2213,NaN,NaN,NaN,NaN,NaN,Hold,44:35.7
50 Cent,625,5000,5000,1,685000,137,1976,Male,45,No upcoming birthday,U.S. national,Alive,Hold,44:37.1
Harold Perrineau,626,5000,1000,0.2,70000,14,2584,Male,57,No upcoming birthday,U.S. national,Alive,Hold,44:38.4
R. Kelly,627,5000,3000,0.6,1727000,345.4,645,Male,53,No upcoming birthday,U.S. national,Alive,Hold,44:39.6
Alice Cooper,628,5000,1000,0.2,212000,42.4,1613,Male,72,No upcoming birthday,U.S. national,Alive,Hold,44:40.9
Christopher Lloyd,629,5000,1000,0.2,374000,74.8,1877,Male,82,No upcoming birthday,U.S. national,Alive,Hold,44:42.3
Chris Bauer,630,5000,1000,0.2,39000,7.8,2363,Male,54,No upcoming birthday,U.S. national,Alive,Hold,44:43.5
Freddy Rodriguez,631,5000,1000,0.2,44000,8.8,2390,Male,45,No upcoming birthday,U.S. national,Alive,Hold,44:44.7
Connie Nielsen,632,5000,1000,0.2,71000,14.2,1790,Female,55,No upcoming birthday,Foreign to U.S.,Alive,Hold,44:46.0
Pamela Anderson,633,5000,1000,0.2,414000,82.8,2397,Female,53,No upcoming birthday,Foreign to U.S.,Alive,Hold,44:47.3
Ben Miller,634,5000,1000,0.2,38000,7.6,2439,Male,54,No upcoming birthday,Foreign to U.S.,Alive,Hold,44:48.6
Joe Jonas,635,5000,5000,1,723000,144.6,1151,Male,31,No upcoming birthday,U.S. national,Alive,Hold,44:49.9
Jamie Oliver,636,5000,2000,0.4,61000,12.2,822,Male,45,No upcoming birthday,Foreign to U.S.,Alive,Hold,44:51.2
Michael B. Jordan,637,5000,12000,2.4,474000,94.8,905,Male,33,No upcoming birthday,U.S. national,Alive,Hold,44:52.4
