Celebrity,Current Ranking,Current Price,Avg. 21-Day Price,Avg. 21-Day Price/Current Price,All-Time High Price,All-Time High Price/Current Price,Days Since All-Time High Price,Gender,Age,Upcoming Birthday,U.S. Nationality,Living Status,Celebrity Bucks Recommendation,Last Update
Gwyneth Paltrow,59,54000,10000,0.185,1852000,34.296,2451,Female,48,No upcoming birthday,U.S. national,Alive,Hold,30:51.0
Bill Belichick,60,54000,4000,0.074,193000,3.574,675,NaN,NaN,NaN,NaN,NaN,Buy,30:53.4
Andy Samberg,61,54000,6000,0.111,1207000,22.352,1908,Male,42,No upcoming birthday,U.S. national,Alive,Buy,30:54.7
Kris Jenner,62,54000,10000,0.185,644000,11.926,1861,NaN,NaN,NaN,NaN,NaN,Buy,30:57.1
Natalie Portman,63,54000,6000,0.111,474000,8.778,2590,Female,39,No upcoming birthday,Foreign to U.S.,Alive,Hold,30:58.5
Beyonce,64,52000,11000,0.212,1871000,35.981,1397,NaN,NaN,NaN,NaN,NaN,Buy,31:01.0
Rachel McAdams,65,51000,3000,0.059,377000,7.392,2333,Female,42,No upcoming birthday,Foreign to U.S.,Alive,Buy,31:02.3
Olivia Cooke,66,50000,5000,0.1,157000,3.14,1926,Female,26,No upcoming birthday,Foreign to U.S.,Alive,Buy,31:03.5
Morgan Stewart,67,49000,3000,0.061,74000,1.51,158,NaN,NaN,NaN,NaN,NaN,Buy,31:06.0
Blake Lively,68,48000,5000,0.104,675000,14.062,2058,Female,33,No upcoming birthday,U.S. national,Alive,Buy,31:07.2
Naya Rivera,69,48000,10000,0.208,2126000,44.292,149,Female,33,No upcoming birthday,U.S. national,Alive,Hold,31:08.4
Kobe Bryant,70,47000,13000,0.277,6020000,128.085,318,Male,41,No upcoming birthday,U.S. national,Dead,Hold,31:09.7
Miley Cyrus,71,47000,61000,1.298,3146000,66.936,1928,Female,28,No upcoming birthday,U.S. national,Alive,Sell,31:11.0
Emma Stone,72,46000,11000,0.239,1578000,34.304,1382,Female,32,No upcoming birthday,U.S. national,Alive,Hold,31:12.2
Heidi Klum,73,46000,8000,0.174,639000,13.891,2596,Female,47,No upcoming birthday,Foreign to U.S.,Alive,Buy,31:13.5
Prince Charles,74,46000,24000,0.522,737000,16.022,260,Male,72,No upcoming birthday,Foreign to U.S.,Alive,Hold,31:14.8
LeBron James,75,46000,18000,0.391,553000,12.022,892,Male,35,No upcoming birthday,U.S. national,Alive,Hold,31:16.0
Drew Barrymore,76,46000,11000,0.239,683000,14.848,1713,Female,45,No upcoming birthday,U.S. national,Alive,Hold,31:17.4
Meghan Markle,77,46000,46000,1,5529000,120.196,936,Female,39,No upcoming birthday,U.S. national,Alive,Hold,31:18.7
Kathryn Newton,78,45000,5000,0.111,98000,2.178,29,Female,23,No upcoming birthday,U.S. national,Alive,Buy,31:19.9
Julia Roberts,79,45000,4000,0.089,674000,14.978,2474,Female,53,No upcoming birthday,U.S. national,Alive,Buy,31:21.3
Jamie Foxx,80,45000,6000,0.133,625000,13.889,1786,Male,52,Upcoming birthday,U.S. national,Alive,Hold,31:22.6
Stephen Colbert,81,45000,14000,0.311,1773000,39.4,2435,Male,56,No upcoming birthday,U.S. national,Alive,Buy,31:23.8
Rosario Dawson,82,44000,14000,0.318,221000,5.023,2199,Female,41,No upcoming birthday,U.S. national,Alive,Buy,31:25.1
Steve McQueen,83,44000,9000,0.205,770000,17.5,2474,Male,50,No upcoming birthday,U.S. national,Dead,Hold,31:26.5
Nicole Kidman,84,43000,28000,0.651,923000,21.465,1179,Female,53,No upcoming birthday,U.S. national,Alive,Hold,31:27.8
Mark Ruffalo,85,42000,9000,0.214,399000,9.5,2067,Male,53,No upcoming birthday,U.S. national,Alive,Buy,31:29.1
Demi Moore,86,42000,4000,0.095,690000,16.429,443,Female,58,No upcoming birthday,U.S. national,Alive,Hold,31:30.5
Charlize Theron,87,42000,6000,0.143,569000,13.548,2037,Female,45,No upcoming birthday,Foreign to U.S.,Alive,Hold,31:31.8
Lori Loughlin,88,42000,30000,0.714,2050000,48.81,638,Female,56,No upcoming birthday,U.S. national,Alive,Sell,31:33.1
Gwen Stefani,89,41000,26000,0.634,1722000,42,1862,Female,51,No upcoming birthday,U.S. national,Alive,Sell,31:34.4
Will Ferrell,90,41000,4000,0.098,669000,16.317,2086,Male,53,No upcoming birthday,U.S. national,Alive,Hold,31:35.7
Gal Gadot,91,40000,14000,0.35,559000,13.975,1289,Female,35,No upcoming birthday,Foreign to U.S.,Alive,Hold,31:37.0
Barack Obama,92,40000,38000,0.95,810000,20.25,1420,Male,59,No upcoming birthday,U.S. national,Alive,Hold,31:38.3
Nathan Kress,93,40000,3000,0.075,61000,1.525,2317,Male,28,No upcoming birthday,U.S. national,Alive,Hold,31:39.6
Miranda Cosgrove,94,40000,3000,0.075,65000,1.625,1,Female,27,No upcoming birthday,U.S. national,Alive,Hold,31:40.8
Jimmy Kimmel,95,40000,15000,0.375,2430000,60.75,1382,Male,53,No upcoming birthday,U.S. national,Alive,Hold,31:42.1
Leonardo DiCaprio,96,40000,3000,0.075,2643000,66.075,1746,Male,46,No upcoming birthday,U.S. national,Alive,Buy,31:43.4
Jerry Trainor,97,40000,3000,0.075,65000,1.625,1,Male,43,No upcoming birthday,U.S. national,Alive,Hold,31:44.7
Tobey Maguire,98,39000,9000,0.231,322000,8.256,1513,Male,45,No upcoming birthday,U.S. national,Alive,Sell,31:45.9
Ana de Armas,99,38000,9000,0.237,141000,3.711,267,Female,32,No upcoming birthday,Foreign to U.S.,Alive,Buy,31:47.2
Blac Chyna,100,38000,4000,0.105,1700000,44.737,1253,Female,32,No upcoming birthday,U.S. national,Alive,Buy,31:48.4
Chris Pratt,101,37000,8000,0.216,1356000,36.649,1221,Male,41,No upcoming birthday,U.S. national,Alive,Hold,31:49.6
Daisy Ridley,102,37000,5000,0.135,348000,9.405,1704,NaN,NaN,NaN,NaN,NaN,Hold,31:52.0
Kourtney Kardashian,103,37000,18000,0.486,1332000,36,1983,Female,41,No upcoming birthday,U.S. national,Alive,Sell,31:53.2
Ben Affleck,104,36000,17000,0.472,1702000,47.278,1989,Male,48,No upcoming birthday,U.S. national,Alive,Sell,31:54.5
Reese Witherspoon,105,36000,11000,0.306,675000,18.75,2118,Female,44,No upcoming birthday,U.S. national,Alive,Hold,31:56.2
Jamie Dornan,106,36000,7000,0.194,738000,20.5,2128,Male,38,No upcoming birthday,Foreign to U.S.,Alive,Hold,31:57.5
Demi Lovato,107,35000,10000,0.286,2623000,74.943,869,Female,28,No upcoming birthday,U.S. national,Alive,Buy,31:58.7
RuPaul,108,35000,9000,0.257,293000,8.371,1365,Male,60,No upcoming birthday,U.S. national,Alive,Sell,32:00.1
Jon Favreau,109,35000,4000,0.114,308000,8.8,1534,Male,54,No upcoming birthday,U.S. national,Alive,Buy,32:01.4
Ivanka Trump,110,34000,12000,0.353,747000,21.971,924,Female,39,No upcoming birthday,U.S. national,Alive,Hold,32:03.5
Zac Efron,111,34000,4000,0.118,809000,23.794,2432,Male,33,No upcoming birthday,U.S. national,Alive,Buy,32:04.8
Matthew McConaughey,112,34000,9000,0.265,1764000,51.882,2474,Male,51,No upcoming birthday,U.S. national,Alive,Hold,32:06.1
Tom Brady,113,34000,14000,0.412,1207000,35.5,1403,Male,43,No upcoming birthday,U.S. national,Alive,Hold,32:07.3
Kacey Musgraves,114,34000,2000,0.059,810000,23.824,668,NaN,NaN,NaN,NaN,NaN,Hold,32:09.7
Selena Gomez,115,33000,43000,1.303,1114000,33.758,1137,Female,28,No upcoming birthday,U.S. national,Alive,Hold,32:11.0
Benedict Cumberbatch,116,33000,6000,0.182,704000,21.333,2226,Male,44,No upcoming birthday,Foreign to U.S.,Alive,Hold,32:12.3
Rose McGowan,117,33000,3000,0.091,1097000,33.242,1155,Female,47,No upcoming birthday,Foreign to U.S.,Alive,Hold,32:13.6
Jake Gyllenhaal,118,32000,4000,0.125,773000,24.156,2233,Male,39,No upcoming birthday,U.S. national,Alive,Hold,32:14.9
Angelina Jolie,119,32000,13000,0.406,3846000,120.188,1541,Female,45,No upcoming birthday,U.S. national,Alive,Hold,32:16.2
Scarlett Johansson,120,32000,4000,0.125,876000,27.375,2506,Female,36,No upcoming birthday,U.S. national,Alive,Hold,32:17.6
Kendall Jenner,121,32000,14000,0.438,1426000,44.562,1345,Female,25,No upcoming birthday,U.S. national,Alive,Hold,32:18.8
Paul Rudd,122,32000,2000,0.062,877000,27.406,2548,Male,51,No upcoming birthday,U.S. national,Alive,Hold,32:20.1
Shaquille O'Neal,123,32000,2000,0.062,270000,8.438,317,Male,48,No upcoming birthday,U.S. national,Alive,Hold,32:21.5
Jennifer Lawrence,124,31000,12000,0.387,2237000,72.161,2474,Female,30,No upcoming birthday,U.S. national,Alive,Hold,32:22.7
Ryan Gosling,125,30000,5000,0.167,1357000,45.233,1431,Male,40,No upcoming birthday,Foreign to U.S.,Alive,Hold,32:24.1
Viola Davis,126,30000,7000,0.233,1424000,47.467,1907,Female,55,No upcoming birthday,U.S. national,Alive,Hold,32:25.4
Christine Teigen,127,30000,31000,1.033,716000,23.867,1885,Female,35,No upcoming birthday,U.S. national,Alive,Sell,32:26.7
Bruce Springsteen,128,30000,8000,0.267,492000,16.4,1706,Male,71,No upcoming birthday,U.S. national,Alive,Hold,32:27.9
Sarah Paulson,129,30000,7000,0.233,609000,20.3,1544,Female,45,Upcoming birthday,U.S. national,Alive,Hold,32:29.2
Kelly Ripa,130,30000,7000,0.233,1174000,39.133,1694,Female,50,No upcoming birthday,U.S. national,Alive,Hold,32:30.5
Kerry Washington,131,29000,8000,0.276,719000,24.793,2597,Female,43,No upcoming birthday,U.S. national,Alive,Hold,32:31.7
Tim Roth,132,29000,2000,0.069,154000,5.31,2226,Male,59,No upcoming birthday,Foreign to U.S.,Alive,Hold,32:33.0
John Legend,133,29000,19000,0.655,877000,30.241,2117,Male,41,No upcoming birthday,U.S. national,Alive,Hold,32:34.4
Mark Ronson,134,28000,3000,0.107,222000,7.929,1759,NaN,NaN,NaN,NaN,NaN,Hold,32:36.8
Brie Larson,135,28000,2000,0.071,1189000,42.464,1746,Female,31,No upcoming birthday,U.S. national,Alive,Hold,32:38.2
Zooey Deschanel,136,28000,3000,0.107,397000,14.179,2158,Female,40,No upcoming birthday,U.S. national,Alive,Hold,32:41.2
Hayden Panettiere,137,28000,1000,0.036,424000,15.143,2298,Female,31,No upcoming birthday,U.S. national,Alive,Hold,32:42.5
Bradley Whitford,138,28000,2000,0.071,78000,2.786,1907,Male,61,No upcoming birthday,U.S. national,Alive,Hold,32:44.2
John Krasinski,139,27000,3000,0.111,436000,16.148,977,Male,41,No upcoming birthday,U.S. national,Alive,Hold,32:45.4
Keegan-Michael Key,140,27000,4000,0.148,134000,4.963,2055,Male,49,No upcoming birthday,U.S. national,Alive,Hold,32:46.6
Morena Baccarin,141,27000,1000,0.037,322000,11.926,1903,Female,41,No upcoming birthday,Foreign to U.S.,Alive,Hold,32:47.9
Justin Bieber,142,27000,48000,1.778,4674000,173.111,2512,Male,26,No upcoming birthday,Foreign to U.S.,Alive,Hold,32:49.3
Jessica Simpson,143,27000,6000,0.222,869000,32.185,2349,Female,40,No upcoming birthday,U.S. national,Alive,Hold,32:50.5
James Blake,144,26000,2000,0.077,311000,11.962,1918,Male,40,No upcoming birthday,U.S. national,Alive,Hold,32:51.9
Michelle Obama,145,26000,6000,0.231,1076000,41.385,1605,Female,NaN,No upcoming birthday,U.S. national,Alive,Hold,32:53.1
Chandra Wilson,146,26000,3000,0.115,56000,2.154,335,Female,51,No upcoming birthday,U.S. national,Alive,Hold,32:54.4
Kevin Hart,147,25000,11000,0.44,1162000,46.48,734,Male,41,No upcoming birthday,U.S. national,Alive,Sell,32:55.7
Alfred Molina,148,25000,11000,0.44,198000,7.92,1,Male,67,No upcoming birthday,Foreign to U.S.,Alive,Sell,32:57.0
Don Cheadle,149,25000,10000,0.4,202000,8.08,2555,Male,56,No upcoming birthday,U.S. national,Alive,Hold,32:58.3
M. Night Shyamalan,150,25000,3000,0.12,376000,15.04,1417,Male,50,No upcoming birthday,Foreign to U.S.,Alive,Hold,32:59.6
Kirk Douglas,151,25000,1000,0.04,948000,37.92,308,Male,103,No upcoming birthday,U.S. national,Dead,Hold,33:00.9
Sacha Baron Cohen,152,25000,3000,0.12,504000,20.16,879,Male,49,No upcoming birthday,Foreign to U.S.,Alive,Hold,33:02.2
Catherine Zeta-Jones,153,25000,3000,0.12,195000,7.8,2430,Female,51,No upcoming birthday,Foreign to U.S.,Alive,Hold,33:03.5
Rob Kardashian,154,25000,7000,0.28,1692000,67.68,1253,NaN,NaN,NaN,NaN,NaN,Hold,33:05.9
Beth Broderick,155,24000,1000,0.042,29000,1.208,777,Female,61,No upcoming birthday,U.S. national,Alive,Hold,33:07.2
Gabrielle Union,156,24000,9000,0.375,650000,27.083,374,Female,48,No upcoming birthday,U.S. national,Alive,Hold,33:08.4
Kenneth Branagh,157,24000,2000,0.083,212000,8.833,1288,Male,60,No upcoming birthday,Foreign to U.S.,Alive,Hold,33:09.7
Ryan Seacrest,158,24000,8000,0.333,780000,32.5,1011,Male,45,No upcoming birthday,U.S. national,Alive,Hold,33:12.3
Sienna Miller,159,24000,5000,0.208,340000,14.167,2508,Female,38,No upcoming birthday,U.S. national,Alive,Hold,33:13.5
Alex Rodriguez,160,24000,8000,0.333,716000,29.833,641,Male,45,No upcoming birthday,U.S. national,Alive,Hold,33:14.7
Caroline Rhea,161,24000,1000,0.042,29000,1.208,777,Female,56,No upcoming birthday,Foreign to U.S.,Alive,Hold,33:16.0
Chris Brown,162,24000,12000,0.5,2041000,85.042,1562,Male,31,No upcoming birthday,U.S. national,Alive,Hold,33:17.3
Oprah Winfrey,163,23000,4000,0.174,1880000,81.739,1067,Female,66,No upcoming birthday,U.S. national,Alive,Hold,33:18.6
Ice Cube,164,23000,2000,0.087,460000,20,1946,Male,51,No upcoming birthday,U.S. national,Alive,Hold,33:19.9
Amber Heard,165,23000,7000,0.304,1745000,75.87,1659,Female,34,No upcoming birthday,U.S. national,Alive,Hold,33:21.2
Stellan Skarsgard,166,23000,1000,0.043,67000,2.913,700,Male,69,No upcoming birthday,Foreign to U.S.,Alive,Hold,33:22.4
Snooki,167,22000,8000,0.364,560000,25.455,2202,NaN,NaN,NaN,NaN,NaN,Hold,33:25.6
Blake Shelton,168,22000,18000,0.818,1948000,88.545,1862,Male,44,No upcoming birthday,U.S. national,Alive,Sell,33:26.8
Jamie Bell,169,22000,1000,0.045,354000,16.091,2387,Male,34,No upcoming birthday,Foreign to U.S.,Alive,Hold,33:28.3
Michelle Pfeiffer,170,22000,5000,0.227,381000,17.318,2593,Female,62,No upcoming birthday,U.S. national,Alive,Sell,33:29.5
Goldie Hawn,171,22000,12000,0.545,528000,24,1309,Female,75,No upcoming birthday,U.S. national,Alive,Sell,33:30.8
Mark Consuelos,172,22000,4000,0.182,163000,7.409,989,Male,49,No upcoming birthday,Foreign to U.S.,Alive,Hold,33:32.1
Gordon Ramsay,173,21000,3000,0.143,155000,7.381,2362,Male,54,No upcoming birthday,Foreign to U.S.,Alive,Hold,33:33.4
Scott Disick,174,21000,16000,0.762,1428000,68,1983,NaN,NaN,NaN,NaN,NaN,Hold,33:35.8
Alexandra Daddario,175,21000,3000,0.143,101000,4.81,1295,Female,34,No upcoming birthday,U.S. national,Alive,Hold,33:37.1
Glenn Howerton,176,21000,1000,0.048,66000,3.143,2442,Male,44,No upcoming birthday,Foreign to U.S.,Alive,Hold,33:38.4
Owen Wilson,177,21000,1000,0.048,686000,32.667,2101,Male,52,No upcoming birthday,U.S. national,Alive,Hold,33:39.7
Gigi Hadid,178,21000,18000,0.857,1038000,49.429,1480,NaN,NaN,NaN,NaN,NaN,Hold,33:42.0
John Rich,179,21000,1000,0.048,46000,2.19,1165,NaN,NaN,NaN,NaN,NaN,Hold,33:44.5
Jon Bon Jovi,180,21000,3000,0.143,324000,15.429,2570,Male,58,No upcoming birthday,U.S. national,Alive,Hold,33:45.8
Melania Trump,181,21000,15000,0.714,1630000,77.619,1605,Female,50,No upcoming birthday,Foreign to U.S.,Alive,Hold,33:47.1
January Jones,182,21000,5000,0.238,258000,12.286,2457,Female,42,No upcoming birthday,U.S. national,Alive,Hold,33:48.3
Kathy Griffin,183,21000,4000,0.19,1661000,79.095,1289,Female,60,No upcoming birthday,U.S. national,Alive,Hold,33:49.8
Cyndi Lauper,184,20000,4000,0.2,226000,11.3,1046,Female,67,No upcoming birthday,U.S. national,Alive,Hold,33:51.1
Megan Fox,185,20000,28000,1.4,1047000,52.35,1703,Female,34,No upcoming birthday,U.S. national,Alive,Hold,33:52.3
Margot Robbie,186,20000,9000,0.45,551000,27.55,2114,Female,30,No upcoming birthday,Foreign to U.S.,Alive,Hold,33:53.6
Isla Fisher,187,20000,8000,0.4,186000,9.3,2262,Female,44,No upcoming birthday,Foreign to U.S.,Alive,Hold,33:55.0
Evangeline Lilly,188,19000,2000,0.105,276000,14.526,2328,Female,41,No upcoming birthday,Foreign to U.S.,Alive,Hold,33:56.3
Pharrell Williams,189,19000,4000,0.211,709000,37.316,2132,Male,47,No upcoming birthday,U.S. national,Alive,Hold,33:57.7
Andie MacDowell,190,19000,2000,0.105,135000,7.105,1781,Female,62,No upcoming birthday,U.S. national,Alive,Hold,33:59.0
Ginger Rogers,191,19000,1000,0.053,22000,1.158,2149,Female,83,No upcoming birthday,U.S. national,Dead,Hold,34:00.4
Andy Cohen,192,19000,7000,0.368,354000,18.632,2256,NaN,NaN,NaN,NaN,NaN,Hold,34:02.8
Samuel L. Jackson,193,19000,7000,0.368,538000,28.316,2494,Male,71,No upcoming birthday,U.S. national,Alive,Hold,34:04.1
Fred Astaire,194,19000,1000,0.053,45000,2.368,1441,Male,88,No upcoming birthday,U.S. national,Dead,Hold,34:05.4
Jon Hamm,195,19000,5000,0.263,861000,45.316,1907,Male,49,No upcoming birthday,U.S. national,Alive,Hold,34:06.6
Emily Ratajkowski,196,19000,4000,0.211,300000,15.789,1020,Female,29,No upcoming birthday,Foreign to U.S.,Alive,Hold,34:07.8
Emily VanCamp,197,19000,1000,0.053,194000,10.211,2045,Female,34,No upcoming birthday,Foreign to U.S.,Alive,Hold,34:09.0
Emmanuelle Chriqui,198,19000,1000,0.053,62000,3.263,2018,Female,45,No upcoming birthday,Foreign to U.S.,Alive,Hold,34:10.3
Liam Neeson,199,18000,4000,0.222,817000,45.389,674,Male,68,No upcoming birthday,Foreign to U.S.,Alive,Hold,34:12.0
Vin Diesel,200,18000,2000,0.111,665000,36.944,2088,Male,53,No upcoming birthday,U.S. national,Alive,Hold,34:13.3
Seth Rogen,201,18000,1000,0.056,1128000,62.667,2185,Male,38,No upcoming birthday,Foreign to U.S.,Alive,Hold,34:14.6
Hillary Clinton,202,18000,5000,0.278,3735000,207.5,1493,Female,73,No upcoming birthday,U.S. national,Alive,Hold,34:16.0
Jason Momoa,203,18000,6000,0.333,406000,22.556,728,Male,41,No upcoming birthday,U.S. national,Alive,Hold,34:17.3
Wesley Snipes,204,18000,3000,0.167,122000,6.778,1904,Male,58,No upcoming birthday,U.S. national,Alive,Hold,34:18.5
Tom Hardy,205,18000,1000,0.056,393000,21.833,798,Male,43,No upcoming birthday,Foreign to U.S.,Alive,Hold,34:19.8
Paddy Considine,206,18000,1000,0.056,80000,4.444,66,Male,46,No upcoming birthday,Foreign to U.S.,Alive,Hold,34:21.1
Rita Wilson,207,18000,5000,0.278,1145000,63.611,273,Female,64,No upcoming birthday,U.S. national,Alive,Hold,34:22.3
Mario Lopez,208,18000,10000,0.556,320000,17.778,497,Male,47,No upcoming birthday,U.S. national,Alive,Hold,34:23.6
Eminem,209,18000,14000,0.778,796000,44.222,2593,Male,48,No upcoming birthday,U.S. national,Alive,Hold,34:24.9
Josh Brolin,210,18000,3000,0.167,345000,19.167,1220,Male,52,No upcoming birthday,U.S. national,Alive,Hold,34:26.2
Michelle Yeoh,211,18000,1000,0.056,117000,6.5,1478,Female,58,No upcoming birthday,Foreign to U.S.,Alive,Hold,34:27.5
Busy Philipps,212,17000,3000,0.176,256000,15.059,793,Female,41,No upcoming birthday,U.S. national,Alive,Hold,34:28.7
Ronnie Ortiz-Magro,213,17000,4000,0.235,366000,21.529,433,NaN,NaN,NaN,NaN,NaN,Hold,34:31.2
Hulk Hogan,214,17000,3000,0.176,895000,52.647,1965,Male,67,No upcoming birthday,U.S. national,Alive,Hold,34:32.6
Robert Rodriguez,215,17000,5000,0.294,380000,22.353,2303,Male,52,No upcoming birthday,U.S. national,Alive,Hold,34:33.9
Meghan Trainor,216,16000,3000,0.188,396000,24.75,1672,NaN,NaN,NaN,NaN,NaN,Hold,34:36.4
Bill Cosby,217,16000,6000,0.375,2198000,137.375,2213,Male,83,No upcoming birthday,U.S. national,Alive,Hold,34:37.7
Jada Pinkett Smith,218,16000,12000,0.75,879000,54.938,1787,Female,49,No upcoming birthday,U.S. national,Alive,Sell,34:39.1
Christopher Walken,219,16000,2000,0.125,340000,21.25,2341,Male,77,No upcoming birthday,U.S. national,Alive,Hold,34:40.8
Meg Ryan,220,16000,1000,0.062,300000,18.75,2422,Female,59,No upcoming birthday,U.S. national,Alive,Hold,34:43.4
Angelina Pivarnick,221,16000,3000,0.188,164000,10.25,385,NaN,NaN,NaN,NaN,NaN,Hold,34:45.8
Kevin McCarthy,222,16000,2000,0.125,148000,9.25,1891,Male,96,No upcoming birthday,U.S. national,Dead,Hold,34:47.5
John Lithgow,223,16000,2000,0.125,158000,9.875,1274,Male,75,No upcoming birthday,U.S. national,Alive,Hold,34:48.8
Jennette McCurdy,224,15000,1000,0.067,361000,24.067,2443,Female,28,No upcoming birthday,U.S. national,Alive,Hold,34:50.0
Paul McCartney,225,15000,13000,0.867,673000,44.867,2509,Male,78,No upcoming birthday,Foreign to U.S.,Alive,Hold,34:51.5
Frances McDormand,226,15000,2000,0.133,1444000,96.267,1011,Female,63,No upcoming birthday,U.S. national,Alive,Hold,34:52.7
Kurt Russell,227,15000,13000,0.867,316000,21.067,1316,Male,69,No upcoming birthday,U.S. national,Alive,Sell,34:54.4
Bobby Flay,228,15000,1000,0.067,301000,20.067,2017,Male,56,No upcoming birthday,U.S. national,Alive,Hold,34:55.6
Andrew Garfield,229,15000,6000,0.4,759000,50.6,2411,Male,37,No upcoming birthday,U.S. national,Alive,Sell,34:56.8
Jennifer Hudson,230,14000,7000,0.5,572000,40.857,1119,Female,39,No upcoming birthday,U.S. national,Alive,Hold,34:58.1
Craig Robinson,231,14000,2000,0.143,121000,8.643,2330,Male,49,No upcoming birthday,Foreign to U.S.,Alive,Hold,34:59.3
Tim Burton,232,14000,1000,0.071,596000,42.571,2179,Male,62,No upcoming birthday,U.S. national,Alive,Hold,35:00.5
Rashida Jones,233,14000,6000,0.429,251000,17.929,1115,Female,44,No upcoming birthday,U.S. national,Alive,Hold,35:01.8
Nia Peeples,234,14000,1000,0.071,42000,3,1941,Female,59,No upcoming birthday,U.S. national,Alive,Hold,35:03.0
Frank Sinatra,235,14000,4000,0.286,230000,16.429,1825,Male,82,Upcoming birthday,U.S. national,Dead,Hold,35:04.4
Dax Shepard,236,14000,4000,0.286,503000,35.929,2610,Male,45,No upcoming birthday,U.S. national,Alive,Hold,35:05.6
Gisele Bundchen,237,14000,2000,0.143,434000,31,2066,Female,40,No upcoming birthday,Foreign to U.S.,Alive,Hold,35:06.8
Kit Harington,238,14000,1000,0.071,438000,31.286,1171,Male,33,No upcoming birthday,Foreign to U.S.,Alive,Hold,35:08.1
Maria Menounos,239,14000,2000,0.143,478000,34.143,1255,Female,42,No upcoming birthday,U.S. national,Alive,Hold,35:09.3
Sylvie,240,14000,1000,0.071,58000,4.143,57,3 January  1883,NaN,NaN,Foreign to U.S.,Dead,Hold,35:10.6
Chevy Chase,241,14000,2000,0.143,252000,18,1556,Male,77,No upcoming birthday,U.S. national,Alive,Hold,35:11.9
Jodie Foster,242,14000,4000,0.286,530000,37.857,2422,Female,58,No upcoming birthday,U.S. national,Alive,Hold,35:13.2
Willie Nelson,243,14000,2000,0.143,183000,13.071,2061,Male,87,No upcoming birthday,U.S. national,Alive,Hold,35:16.0
Judd Apatow,244,14000,3000,0.214,357000,25.5,1969,Male,53,No upcoming birthday,U.S. national,Alive,Hold,35:17.3
Billy Porter,245,14000,4000,0.286,485000,34.643,444,NaN,NaN,NaN,NaN,NaN,Hold,35:19.7
Woody Allen,246,14000,1000,0.071,1267000,90.5,2503,Male,85,No upcoming birthday,U.S. national,Alive,Hold,35:21.1
Rita Moreno,247,14000,2000,0.143,306000,21.857,2517,Female,89,Upcoming birthday,U.S. national,Alive,Hold,35:22.4
Hilary Duff,248,14000,8000,0.571,584000,41.714,2525,Female,33,No upcoming birthday,U.S. national,Alive,Hold,35:23.7
Mike Tyson,249,14000,32000,2.286,239000,17.071,11,Male,54,No upcoming birthday,U.S. national,Alive,Hold,35:25.1
Lily Tomlin,250,14000,2000,0.143,321000,22.929,1411,Female,81,No upcoming birthday,U.S. national,Alive,Hold,35:26.4
Patrick Dempsey,251,14000,4000,0.286,531000,37.929,2057,Male,54,No upcoming birthday,U.S. national,Alive,Hold,35:27.7
Justin Timberlake,252,14000,6000,0.429,1532000,109.429,1040,Male,39,No upcoming birthday,U.S. national,Alive,Hold,35:29.0
Jeremy Renner,253,14000,10000,0.714,443000,31.643,2269,Male,49,No upcoming birthday,U.S. national,Alive,Hold,35:30.3
Jim Carrey,254,13000,2000,0.154,901000,69.308,1898,Male,58,No upcoming birthday,Foreign to U.S.,Alive,Hold,35:31.7
Joaquin Phoenix,255,13000,1000,0.077,721000,55.462,304,Male,46,No upcoming birthday,U.S. national,Alive,Hold,35:32.9
Wentworth Miller,256,13000,1000,0.077,254000,19.538,1717,Male,48,No upcoming birthday,Foreign to U.S.,Alive,Hold,35:34.2
DJ Pauly D,257,13000,2000,0.154,172000,13.231,2605,NaN,NaN,NaN,NaN,NaN,Hold,35:36.7
J.J. Abrams,258,13000,2000,0.154,516000,39.692,1822,NaN,NaN,NaN,NaN,NaN,Hold,35:39.1
Kristen Wiig,259,13000,7000,0.538,727000,55.923,2143,Female,47,No upcoming birthday,U.S. national,Alive,Hold,35:40.4
Danny Wood,260,13000,1000,0.077,73000,5.615,2443,Male,51,No upcoming birthday,U.S. national,Alive,Hold,35:42.3
Ed Helms,261,13000,1000,0.077,230000,17.692,2554,Male,46,No upcoming birthday,U.S. national,Alive,Hold,35:43.6
Shakira,262,13000,2000,0.154,1379000,106.077,311,Female,43,No upcoming birthday,Foreign to U.S.,Alive,Hold,35:44.9
Kevin Costner,263,13000,2000,0.154,390000,30,2435,Male,65,No upcoming birthday,U.S. national,Alive,Hold,35:46.3
Elizabeth Hurley,264,13000,4000,0.308,264000,20.308,170,Female,55,No upcoming birthday,Foreign to U.S.,Alive,Hold,35:47.7
Tyler Perry,265,13000,8000,0.615,353000,27.154,430,Male,51,No upcoming birthday,U.S. national,Alive,Hold,35:49.1
Bob Newhart,266,13000,1000,0.077,302000,23.231,2601,Male,91,No upcoming birthday,U.S. national,Alive,Hold,35:50.3
Hailey Baldwin,267,13000,9000,0.692,1469000,113,885,NaN,NaN,NaN,NaN,NaN,Hold,35:52.7
Amanda Seyfried,268,13000,8000,0.615,437000,33.615,1365,Female,35,No upcoming birthday,U.S. national,Alive,Hold,35:54.1
Anne Hathaway,269,13000,2000,0.154,446000,34.308,1661,Female,38,No upcoming birthday,U.S. national,Alive,Hold,35:56.6
Amy Sedaris,270,13000,1000,0.077,53000,4.077,1144,Female,59,No upcoming birthday,U.S. national,Alive,Hold,35:58.5
Sarah Ramos,271,13000,1000,0.077,40000,3.077,203,Female,29,No upcoming birthday,U.S. national,Alive,Hold,35:59.9
