Celebrity,Current Ranking,Current Price,Avg. 21-Day Price,Avg. 21-Day Price/Current Price,All-Time High Price,All-Time High Price/Current Price,Days Since All-Time High Price,Gender,Age,Upcoming Birthday,U.S. Nationality,Living Status,Celebrity Bucks Recommendation,Last Update
Mark Ronson,137,28000,3000,0.107,222000,7.929,1759,NaN,NaN,NaN,NaN,NaN,Hold,2020-12-11 18:16:49.210186
Bradley Whitford,138,28000,2000,0.071,78000,2.786,1907,Male,61,No upcoming birthday,U.S. national,Alive,Hold,2020-12-11 18:16:50.505913
Keegan-Michael Key,111,34000,4000,0.118,134000,3.941,2055,Male,49,No upcoming birthday,U.S. national,Alive,Hold,2020-12-11 18:16:51.808996
Hayden Panettiere,136,28000,1000,0.036,424000,15.143,2298,Female,31,No upcoming birthday,U.S. national,Alive,Hold,2020-12-11 18:16:53.130344
John Krasinski,133,28000,3000,0.107,436000,15.571,977,Male,41,No upcoming birthday,U.S. national,Alive,Buy,2020-12-11 18:16:54.641201
Mark Consuelos,166,22000,4000,0.182,163000,7.409,989,Male,49,No upcoming birthday,Foreign to U.S.,Alive,Hold,2020-12-11 18:16:55.896513
Aretha Franklin,226,14000,3000,0.214,3037000,216.929,846,Female,76,No upcoming birthday,U.S. national,Dead,Hold,2020-12-11 18:16:57.279561
Andy Cohen,191,19000,7000,0.368,354000,18.632,2256,NaN,NaN,NaN,NaN,NaN,Hold,2020-12-11 18:16:59.808954
Amber Heard,160,23000,7000,0.304,1745000,75.87,1659,Female,34,No upcoming birthday,U.S. national,Alive,Hold,2020-12-11 18:17:01.066445
Jon Bon Jovi,175,21000,3000,0.143,324000,15.429,2570,Male,58,No upcoming birthday,U.S. national,Alive,Hold,2020-12-11 18:17:02.393812
John Krasinski,133,28000,3000,0.107,436000,15.571,977,Male,41,No upcoming birthday,U.S. national,Alive,Buy,2020-12-11 18:19:46.292115
Jon Bon Jovi,175,21000,3000,0.143,324000,15.429,2570,Male,58,No upcoming birthday,U.S. national,Alive,Hold,2020-12-11 18:19:50.005611
John Krasinski,133,28000,3000,0.107,436000,15.571,977,Male,41,No upcoming birthday,U.S. national,Alive,Buy,2020-12-11 18:21:20.548236
Jon Bon Jovi,175,21000,3000,0.143,324000,15.429,2570,Male,58,No upcoming birthday,U.S. national,Alive,Hold,2020-12-11 18:21:24.404060
